,station,longitude,latitude
0,S0000370-Ba Trieu,105.848945,21.011621
1,S0000229-Quan Hoa,105.805607,21.039073
2,S0000310-Hang Trong,105.8506845,21.0287174
3,S0000210-Truong THCS Yen So,105.679643,21.044613
4,S0000153-Truong Tieu hoc Tran Quoc Toan,105.850535,21.026903
5,S0000137-Ngoc Khanh,105.8126417,21.026052
6,S0000541-Tran Quang Khai,105.859016,21.025092
7,S0000238-He thong lien cap Lomonoxop - Mam non,105.733799,21.006896
8,S0000143-Thu vien - DHQG Ha Noi,105.783422,21.038251
9,S0000171-GENESIS School,105.801322,21.050128
10,S0000264-FDS - Ton That Thuyet,105.785088,21.026053
11,S0000328-Luong The Vinh,105.78408,20.99687
12,S0000367-To Hieu,105.77808,20.96717
13,S0000182-Truong THCS Trung Hoa,105.798926,21.014074
14,S0000339-Kim Ma,105.824145,21.031718
